2026-02-26 12:57:16 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 12:57:16 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unknown, fingerprint=unknown)
2026-02-26 12:57:16 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded TOP_SECRET → INTERNAL for user=superadmin (device_trust=unmanaged, fingerprint=home-laptop-123)
2026-02-26 12:57:16 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 12:57:17 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='dr.arjun'
2026-02-26 12:57:17 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='nonexistent.user'
2026-02-26 12:57:19 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Invalid header string: 'utf-8' codec can't decode byte 0x8a in position 0: invalid start byte
2026-02-26 12:57:19 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 12:57:19 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Signature verification failed.
2026-02-26 12:57:20 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Not enough segments
2026-02-26 12:57:20 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:01:44 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:01:44 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unknown, fingerprint=unknown)
2026-02-26 13:01:44 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded TOP_SECRET → INTERNAL for user=superadmin (device_trust=unmanaged, fingerprint=home-laptop-123)
2026-02-26 13:01:44 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:01:44 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='dr.arjun'
2026-02-26 13:01:44 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='nonexistent.user'
2026-02-26 13:01:47 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Invalid header string: 'utf-8' codec can't decode byte 0x8a in position 0: invalid start byte
2026-02-26 13:01:47 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:01:47 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Signature verification failed.
2026-02-26 13:01:49 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Not enough segments
2026-02-26 13:01:49 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:02:04 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:02:04 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unknown, fingerprint=unknown)
2026-02-26 13:02:04 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded TOP_SECRET → INTERNAL for user=superadmin (device_trust=unmanaged, fingerprint=home-laptop-123)
2026-02-26 13:02:04 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:02:04 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='dr.arjun'
2026-02-26 13:02:04 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='nonexistent.user'
2026-02-26 13:02:06 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Invalid header string: 'utf-8' codec can't decode byte 0x8a in position 0: invalid start byte
2026-02-26 13:02:07 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:02:07 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Signature verification failed.
2026-02-26 13:02:08 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Not enough segments
2026-02-26 13:02:08 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:45:42 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:45:42 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unknown, fingerprint=unknown)
2026-02-26 13:45:42 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded TOP_SECRET → INTERNAL for user=superadmin (device_trust=unmanaged, fingerprint=home-laptop-123)
2026-02-26 13:45:42 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:45:43 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='dr.arjun'
2026-02-26 13:45:43 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='nonexistent.user'
2026-02-26 13:45:45 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Invalid header string: 'utf-8' codec can't decode byte 0x8a in position 0: invalid start byte
2026-02-26 13:45:45 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:45:45 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Signature verification failed.
2026-02-26 13:45:46 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Not enough segments
2026-02-26 13:45:46 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
2026-02-26 13:47:13 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:47:13 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unknown, fingerprint=unknown)
2026-02-26 13:47:13 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded TOP_SECRET → INTERNAL for user=superadmin (device_trust=unmanaged, fingerprint=home-laptop-123)
2026-02-26 13:47:13 | WARNING  | sentinelsql.layer01.context_builder | Zero Trust: clearance downgraded SECRET → INTERNAL for user=admin.suresh (device_trust=unmanaged, fingerprint=personal-iphone)
2026-02-26 13:47:13 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='dr.arjun'
2026-02-26 13:47:13 | WARNING  | sentinelsql.auth.routes      | >>> [LOGIN] ✗ FAILED — Invalid credentials for username='nonexistent.user'
2026-02-26 13:47:16 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] INVALID — Session token is invalid or tampered: Invalid header string: 'utf-8' codec can't decode byte 0x8a in position 0: invalid start byte
2026-02-26 13:47:16 | WARNING  | sentinelsql.auth.routes      | >>> [TOKEN] FAILED — Authorization header missing 'Bearer ' prefix
